Player,Age,Team,GPPred,FSPred,ValPred,Conf,Div
Oliver Bjorkstrand,28,SEA,69,0.372,0.95,West,Metropolitan
Brian Dumoulin,32,SEA,67,0.12,0.3,West,Metropolitan
Vince Dunn,27,SEA,72,0.358,0.95,West,Metropolitan
Jordan Eberle,33,SEA,68,0.228,0.57,West,Metropolitan
Yanni Gourde,32,SEA,67,0.111,0.28,West,Metropolitan
Philipp Grubauer,32,SEA,50,-0.696,-1.29,West,Metropolitan
Adam Larsson,31,SEA,71,0.136,0.36,West,Metropolitan
Jared McCann,27,SEA,72,1.013,2.7,West,Metropolitan
Jaycob Megna,31,SEA,54,-0.069,-0.14,West,Metropolitan
Jamie Oleksiak,31,SEA,65,0.072,0.17,West,Metropolitan
Justin Schultz,33,SEA,63,-0.545,-1.27,West,Metropolitan
Jaden Schwartz,31,SEA,59,-0.089,-0.19,West,Metropolitan
Brandon Tanev,32,SEA,61,-0.037,-0.08,West,Metropolitan
Eeli Tolvanen,24,SEA,65,0.157,0.38,West,Metropolitan
Alexander Wennberg,29,SEA,68,-0.262,-0.66,West,Metropolitan
Kailer Yamamoto,25,SEA,63,0.139,0.32,West,Metropolitan
Zach Bogosian,33,TBL,51,-0.389,-0.73,East,Atlantic
Logan Brown,25,TBL,47,-0.53,-0.92,East,Atlantic
Anthony Cirelli,26,TBL,62,0.153,0.35,East,Atlantic
Calvin de Haan,32,TBL,57,-0.319,-0.67,East,Atlantic
Haydn Fleury,27,TBL,43,-0.703,-1.12,East,Atlantic
Luke Glendening,34,TBL,60,-0.931,-2.07,East,Atlantic
Brandon Hagel,25,TBL,73,0.989,2.67,East,Atlantic
Victor Hedman,33,TBL,67,0.686,1.7,East,Atlantic
Tanner Jeannot,26,TBL,66,-0.04,-0.1,East,Atlantic
Nikita Kucherov,30,TBL,69,1.379,3.52,East,Atlantic
Brayden Point,27,TBL,75,1.638,4.55,East,Atlantic
Mikhail Sergachev,25,TBL,72,0.609,1.62,East,Atlantic
Conor Sheary,31,TBL,66,0.024,0.06,East,Atlantic
Steven Stamkos,33,TBL,70,1.301,3.37,East,Atlantic
Andrei Vasilevskiy,29,TBL,62,0.608,1.4,East,Atlantic
Mason Appleton,28,WPG,54,-0.377,-0.75,West,Central
Morgan Barron,25,WPG,59,-0.48,-1.05,West,Central
Laurent Brossoit,30,WPG,44,0.427,0.7,West,Central
Kyle Capobianco,26,WPG,45,-0.04,-0.07,West,Central
Kyle Connor,27,WPG,73,1.352,3.66,West,Central
Dylan DeMelo,30,WPG,67,0.241,0.6,West,Central
Brenden Dillon,33,WPG,66,0.018,0.04,West,Central
Nikolaj Ehlers,27,WPG,57,0.587,1.24,West,Central
Connor Hellebuyck,30,WPG,64,0.58,1.37,West,Central
Alex Iafallo,30,WPG,62,0.07,0.16,West,Central
Rasmus Kupari,23,WPG,61,-0.487,-1.1,West,Central
Adam Lowry,30,WPG,68,-0.235,-0.59,West,Central
Josh Morrissey,28,WPG,69,0.22,0.56,West,Central
Vladislav Namestnikov,31,WPG,64,-0.287,-0.68,West,Central
Nino Niederreiter,31,WPG,67,0.392,0.97,West,Central
Neal Pionk,28,WPG,67,-0.196,-0.49,West,Central
Dylan Samberg,25,WPG,57,0.449,0.95,West,Central
Mark Scheifele,30,WPG,71,1.167,3.07,West,Central
Nate Schmidt,32,WPG,65,0.16,0.39,West,Central
Logan Stanley,25,WPG,47,-0.132,-0.23,West,Central
Gabriel Vilardi,24,WPG,60,0.298,0.66,West,Central
Rasmus Andersson,27,CGY,68,0.259,0.65,West,Metropolitan
Mikael Backlund,34,CGY,68,-0.011,-0.03,West,Metropolitan
Blake Coleman,32,CGY,68,-0.127,-0.32,West,Metropolitan
Noah Hanifin,27,CGY,69,0.16,0.41,West,Metropolitan
Jonathan Huberdeau,30,CGY,68,0.676,1.7,West,Metropolitan
Nazem Kadri,33,CGY,66,0.383,0.94,West,Metropolitan
Elias Lindholm,29,CGY,70,1.002,2.6,West,Metropolitan
Andrew Mangiapane,27,CGY,70,0.544,1.41,West,Metropolitan
Yegor Sharangovich,25,CGY,67,0.105,0.26,West,Metropolitan
Chris Tanev,34,CGY,64,0.642,1.52,West,Metropolitan
MacKenzie Weegar,30,CGY,71,0.994,2.61,West,Metropolitan
Nikita Zadorov,28,CGY,70,0.253,0.66,West,Metropolitan
Sebastian Aho,27,NYI,72,1.449,3.86,East,Metro
Mathew Barzal,26,NYI,63,0.35,0.82,East,Metro
Casey Cizikas,32,NYI,64,-0.632,-1.5,East,Metro
Cal Clutterbuck,36,NYI,51,-0.678,-1.28,East,Metro
Noah Dobson,24,NYI,69,-0.04,-0.1,East,Metro
Pierre Engvall,27,NYI,68,0.028,0.07,East,Metro
Hudson Fasching,28,NYI,50,-0.414,-0.77,East,Metro
Julien Gauthier,26,NYI,57,-0.4,-0.84,East,Metro
Bo Horvat,28,NYI,71,0.966,2.54,East,Metro
Ross Johnston,29,NYI,40,-0.738,-1.09,East,Metro
Karson Kuhlman,28,NYI,51,-0.71,-1.34,East,Metro
Anders Lee,33,NYI,68,0.526,1.32,East,Metro
Matt Martin,34,NYI,63,-0.777,-1.81,East,Metro
Scott Mayfield,31,NYI,65,-0.216,-0.52,East,Metro
Brock Nelson,32,NYI,70,1.064,2.76,East,Metro
Jean-Gabriel Pageau,31,NYI,63,-0.057,-0.13,East,Metro
Kyle Palmieri,32,NYI,59,0.056,0.12,East,Metro
