Name,Tm,Pos,Season,Age,GS,G,Rec,Yds,YPR,TD,Fmb,FloStrength,Value
Mike Evans,TAM,WR,2023,30,4,4,20,337,16.9,3,0,1.7303945998857706,0.28839909998096175
Jake Ferguson,DAL,WR,2023,24,4,5,20,175,8.8,1,0,0.1254764557139641,0.02614092827374252
Christian McCaffrey,SFO,RB,2023,27,5,5,20,168,8.4,1,2,0.047831379745842575,0.005978922468230321
Deebo Samuel,SFO,WR,2023,27,5,5,20,302,15.1,1,1,0.5519204538945942,0.11498342789470713
Jordan Addison,MIN,WR,2023,21,2,5,19,249,13.1,3,0,0.7062979682370044,0.14714541004937592
Tank Dell,HOU,WR,2023,24,3,5,19,324,17.1,2,1,0.7811730049213924,0.1627443760252901
Tony Pollard,DAL,RB,2023,26,5,5,19,96,5.1,0,2,-0.5262673496102416,-0.06578341870128018
Mike Williams,LAC,WR,2023,29,3,3,19,249,13.1,1,0,1.5948167096532868,0.19935208870666085
Kendrick Bourne,NWE,WR,2023,28,2,5,18,218,12.1,2,0,0.3876835277290472,0.08076740161021816
Amari Cooper,CLE,WR,2023,29,4,4,18,259,14.4,1,0,0.8873305388063664,0.1478884231343944
Gabriel Davis,BUF,WR,2023,24,5,5,18,320,17.8,4,0,1.1677892675289019,0.2432894307351879
Travis Etienne,JAX,RB,2023,24,5,5,18,144,8,0,0,-0.24775529177451364,-0.030969411471814205
Tyler Higbee,LAR,WR,2023,30,5,5,18,216,12,0,0,0.04531553706021772,0.00944073688754536
Josh Jacobs,LVR,RB,2023,25,4,4,18,173,9.6,0,0,0.19988284128526715,0.019988284128526716
D.K. Metcalf,SEA,WR,2023,26,4,4,18,268,14.9,2,0,1.1664312373859713,0.19440520623099522
Jakobi Meyers,LVR,WR,2023,27,3,3,18,199,11.1,2,0,1.5163573963112864,0.1895446745389108
Kyle Pitts,ATL,WR,2023,23,4,5,18,208,11.6,0,0,0.0015903184323146596,3.313163400655541e-4
Logan Thomas,WAS,WR,2023,32,4,4,18,183,10.2,2,1,0.6591914320040797,0.10986523866734661
Tyler Conklin,NYJ,WR,2023,28,5,5,17,203,11.9,0,0,-0.10337644866940231,-0.02153676013945881
Jahan Dotson,WAS,WR,2023,23,5,5,17,140,8.2,1,0,-0.13968133903498442,-0.029100278965621756
Hunter Henry,NWE,WR,2023,29,4,5,17,176,10.4,2,0,0.22489332402184758,0.046852775837884914
Jerry Jeudy,DEN,WR,2023,24,3,4,17,208,12.2,0,0,0.3419569988325148,0.05699283313875247
Dalton Kincaid,BUF,WR,2023,24,3,5,17,118,6.9,0,0,-0.44029388684503545,-0.09172789309271571
George Kittle,SFO,WR,2023,30,5,5,17,215,12.6,3,0,0.5158729863744553,0.10747353882801153
Tyler Lockett,SEA,WR,2023,31,4,4,17,157,9.2,2,0,0.5464679203351094,0.09107798672251823
Drake London,ATL,WR,2023,22,5,5,17,204,12,2,0,0.3193321749099439,0.06652753643957166
Elijah Moore,CLE,WR,2023,23,2,4,17,148,8.7,0,1,-0.038953941072639504,-0.006492323512106584
Rashee Rice,KAN,WR,2023,23,0,5,17,173,10.2,2,0,0.2147748757124087,0.04474476577341848
Allen Robinson,PIT,WR,2023,30,5,5,17,137,8.1,0,0,-0.3762103808852558,-0.07837716268442829
Dalton Schultz,HOU,WR,2023,27,1,5,17,154,9.1,2,0,0.10046330034443116,0.020929854238423157
Jaylen Waddle,MIA,WR,2023,25,4,4,17,245,14.4,1,0,0.7809629855290717,0.13016049758817863
Parris Campbell,NYG,WR,2023,26,3,5,16,85,5.3,0,0,-0.6396995048348488,-0.13327073017392685
Alvin Kamara,NOR,RB,2023,28,2,2,16,50,3.1,0,0,0.5132175114873758,0.025660875574368792
Terrace Marshall Jr.,CAR,WR,2023,23,2,4,16,114,7.1,0,1,-0.22964189692859166,-0.03827364948809861
David Njoku,CLE,WR,2023,27,4,4,16,138,8.6,0,1,-0.17031413834103423,-0.028385689723505705
Josh Reynolds,DET,WR,2023,28,4,5,16,291,18.2,3,0,0.8347885318521822,0.17391427746920463
Braxton Berrios,MIA,WR,2023,28,0,5,15,159,10.6,1,0,-0.10111899802258208,-0.021066457921371268
Michael Gallup,DAL,WR,2023,27,5,5,15,180,12,0,0,-0.25670045339734243,-0.05347926112444634
Raheem Mostert,MIA,RB,2023,31,5,5,15,128,8.5,1,3,-0.4792702748206885,-0.059908784352586064
Chigoziem Okonkwo,TEN,WR,2023,24,4,5,15,104,6.9,0,0,-0.5465198568419263,-0.11385830350873465
Samaje Perine,DEN,RB,2023,28,1,5,15,168,11.2,0,1,-0.36604865276497817,-0.04575608159562227
Miles Sanders,CAR,RB,2023,26,5,5,15,81,5.4,0,2,-0.7451007496713191,-0.09313759370891489
D'Andre Swift,PHI,RB,2023,24,4,5,15,75,5,0,0,-0.6945595932413667,-0.08681994915517083
Michael Wilson,ARI,WR,2023,23,4,5,15,255,17,2,0,0.41559656181483,0.08658261704475624
Nelson Agholor,BAL,WR,2023,30,2,5,14,170,12.1,1,1,-0.1875097339983733,-0.03906452791632777
James Cook,BUF,RB,2023,24,5,5,14,140,10,0,0,-0.4629730943064471,-0.05787163678830588
Jahmyr Gibbs,DET,RB,2023,21,1,4,14,70,5,0,0,-0.5074537668974198,-0.05074537668974198
Alexander Mattison,MIN,RB,2023,25,5,5,14,76,5.4,2,1,-0.41208537257515365,-0.051510671571894207
Wan'Dale Robinson,NYG,WR,2023,22,1,3,14,79,5.6,0,0,-0.05378731862111522,-0.006723414827639403
Rashid Shaheed,NOR,WR,2023,25,2,5,14,213,15.2,1,1,-0.008993261957617231,-0.0018735962411702565
JuJu Smith-Schuster,NWE,WR,2023,27,3,5,14,86,6.1,0,0,-0.6618478536790801,-0.13788496951647503
Tyjae Spears,TEN,RB,2023,22,0,5,14,63,4.5,0,0,-0.7394226240514447,-0.09242782800643058
Kadarius Toney,KAN,WR,2023,24,2,5,14,83,5.9,0,1,-0.6738699489074687,-0.14038957268905597
Gerald Everett,LAC,WR,2023,29,3,4,13,107,8.2,0,1,-0.3802554899944095,-0.06337591499906825
Kylen Granson,IND,WR,2023,25,1,5,13,103,7.9,1,0,-0.3824886239570825,-0.07968512999105885
Hayden Hurst,CAR,WR,2023,30,4,5,13,100,7.7,1,0,-0.45957783147745185,-0.09574538155780248
Allen Lazard,NYJ,WR,2023,28,5,5,13,202,15.5,1,0,-0.015094450140133813,-0.003144677112527878
Jonathan Mingo,CAR,WR,2023,22,4,4,13,112,8.6,0,0,-0.35679583070105797,-0.05946597178350966
Joe Mixon,CIN,RB,2023,27,5,5,13,80,6.2,0,0,-0.7701874368839431,-0.09627342961049289
K.J. Osborn,MIN,WR,2023,26,4,5,13,166,12.8,2,0,-0.010561375128963605,-0.0022002864852007508
Darius Slayton,NYG,WR,2023,26,3,5,13,167,12.8,0,0,-0.3428109174883542,-0.07141894114340712
Nick Westbrook-Ikhine,TEN,WR,2023,26,3,5,13,143,11,2,0,-0.10487883530406111,-0.02184975735501273
Rachaad White,TAM,RB,2023,24,4,4,13,86,6.6,0,1,-0.5734337239690787,-0.057343372396907864
Kyren Williams,LAR,RB,2023,23,4,5,13,105,8.1,1,1,-0.4948454672888681,-0.06185568341110851
Calvin Austin,PIT,WR,2023,24,1,5,12,143,11.9,1,0,-0.3691640460226813,-0.07690917625472528
Ezekiel Elliott,NWE,RB,2023,28,0,5,12,44,3.7,0,1,-0.9983578399048778,-0.12479472998810971
Mike Gesicki,NWE,WR,2023,28,4,5,12,116,9.7,0,0,-0.6196699151375336,-0.12909789898698618
Antonio Gibson,WAS,RB,2023,25,0,5,12,132,11,0,3,-0.7053573166659031,-0.08816966458323788
Tee Higgins,CIN,WR,2023,24,4,4,12,129,10.8,2,0,0.1707746371104006,0.028462439518400103
Chuba Hubbard,CAR,RB,2023,24,0,5,12,57,4.8,0,0,-0.8521514448286305,-0.1065189306035788
Luke Musgrave,GNB,WR,2023,23,3,4,12,125,10.4,0,0,-0.3702592027505808,-0.061709867125096796
Cade Otton,TAM,WR,2023,24,4,4,12,89,7.4,1,0,-0.30180777222637084,-0.05030129537106181
DeVante Parker,NWE,WR,2023,30,4,4,12,129,10.8,0,0,-0.3115383977280177,-0.05192306628800295
Jayden Reed,GNB,WR,2023,23,3,4,12,203,16.9,2,1,0.4385238434959144,0.07308730724931907
